Quote	Verb	Type	Author	Title	Page	Original Publication Date	Original Publisher	Reprint Collection or URL	Reprint Publisher	Reprint Publication Date	Pseudonymn	Translator	Social Profile Information														
...this amazing figure administered a jolt to the public nerves.	wash	literature	Albert Camus	The Plague	8	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

&ldquo;They&rsquo;re coming out, they&rsquo;re coming out...&rdquo;	wash	literature	Albert Camus	The Plague	8	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert	

Everyone breathed more freely.	wash	literature	Albert Camus	The Plague	8	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert				

&ldquo;Go to bed at once, and take your temperature. I&rsquo;ll come to see you this afternoon.&rdquo;	wash	literature	Albert Camus	The Plague	9	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															
&ldquo;Oh, I suppose it&rsquo;s an epidemic they&rsquo;ve been having.&rdquo;	wash	literature	Albert Camus	The Plague	9	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert		

He blew his nose vigorously.	wash	literature	Albert Camus	The Plague	9	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

&ldquo;Oh!&rdquo; The man slumped back on the bed and started sobbing weakly.	wash	literature	Albert Camus	The Plague	10	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															

&ldquo;Please, doctor,&rdquo; she said, &ldquo;what is it?&rdquo;	wash	literature	Albert Camus	The Plague	10	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert		

&ldquo;Well,&rdquo; Richard said, &ldquo;that depends on what you mean by &lsquo;normal.&rsquo;&rdquo;	wash	literature	Albert Camus	The Plague	10	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															
Michel&rsquo;s death marked, one might say, the end of the first period, that of bewildering portents, and the beginning of another, relatively more trying, in which the perplexity of the early days gradually gave place to panic.	wash	literature	Albert Camus	The Plague	11	1947	Gallimard (Paris)	PDF online: https://antilogicalism.com/wp-content/uploads/2018/03/the-plague.pdf	Hamish Hamilton (Londond)	1948		Stuart Gilbert															
So, at the bidding of the queen, they washed their hands, and all took their places...	wash	literature	Giovanni Boccaccio	The Decameron	26	1370-71		http://flc.ahnu.edu.cn/__local/7/E7/75/6AB8DEBA692DD0CF6790CA70701_26DE4EC2_17EED4.pdf?e=.pdf	Coradella Collegiate Bookshelf Edition	2004		J.M. Rigg															

[he] gave order to serve water for the hands, which being washen, they sat them all down to breakfast.	wash	literature	Giovanni Boccaccio	The Decameron	78	1370-71		http://flc.ahnu.edu.cn/__local/7/E7/75/6AB8DEBA692DD0CF6790CA70701_26DE4EC2_17EED4.pdf?e=.pdf	Coradella Collegiate Bookshelf Edition	2004		J.M. Rigg															

She then bade set the table, which done, Rinaldo and she washed their hands and sat down together to sup.	wash	literature	Giovanni Boccaccio	The Decameron	112	1370-71		http://flc.ahnu.edu.cn/__local/7/E7/75/6AB8DEBA692DD0CF6790CA70701_26DE4EC2_17EED4.pdf?e=.pdf	Coradella Collegiate Bookshelf Edition	2004		J.M. Rigg															

